0,0
10000,0
20000,0
30000,1
40000,2
50000,3
60000,4
70000,5
80000,7
90000,9
100000,11
110000,13
120000,16
130000,19
140000,21
150000,25
160000,28
170000,31
180000,36
190000,39
200000,44
210000,48
220000,53
230000,58
240000,63
250000,69
260000,73
270000,80
280000,86
290000,92
300000,98
310000,106
320000,111
330000,119
340000,126
350000,134
360000,141
370000,149
380000,158
390000,166
400000,174
410000,184
420000,192
430000,202
440000,211
450000,221
460000,231
470000,242
480000,252
490000,261
500000,273
